640 12800
-174 273 606 
-386 227 62 
-279 -547 273 
310 -313 -526 
463 374 -196 
185 -427 36 
-423 -152 -441 
210 -141 163 
-151 -457 319 
-181 -346 -270 
274 419 -546 
-300 -278 198 
-294 -503 -550 
-387 521 -411 
143 -309 242 
-313 -567 339 
312 -550 446 
393 -567 -570 
-479 -158 611 
-93 -323 -294 
-448 382 297 
500 -595 566 
161 210 -146 
-529 520 120 
312 -203 -162 
617 341 -44 
365 160 101 
348 -609 628 
-391 -247 556 
344 480 -437 
-89 163 -529 
-613 -367 -84 
572 -479 593 
310 -255 -440 
30 593 520 
-636 5 -495 
30 -205 -438 
116 -55 -367 
-23 -478 -616 
447 352 117 
521 -412 -454 
325 581 127 
535 103 -236 
343 -564 269 
-544 -456 -19 
-613 -131 -302 
-381 596 161 
-564 -183 -591 
-88 -17 557 
-86 353 -420 
-216 -427 -289 
-66 -151 111 
-622 197 303 
-561 -50 -529 
-586 518 385 
11 -59 -65 
-591 -19 41 
392 219 601 
-561 361 296 
-532 -622 -552 
-529 373 -291 
-528 321 117 
-338 127 593 
-70 -427 -289 
-141 603 -47 
-165 160 -623 
-196 -157 -262 
-553 402 51 
-250 -372 72 
-39 -595 -115 
-526 -478 41 
218 -268 -196 
-599 554 -26 
-624 -424 -494 
-199 -192 -26 
-188 -424 -172 
432 -537 -515 
264 -278 175 
-380 361 -45 
-624 -205 405 
161 371 341 
149 259 303 
514 -181 277 
-525 606 -490 
545 579 -309 
10 -452 353 
62 274 -508 
124 -336 329 
-169 -314 11 
-315 241 175 
-423 342 248 
11 439 76 
177 463 -155 
-154 184 32 
-77 -337 -495 
342 -494 -68 
-451 -263 -126 
-279 305 514 
-529 -546 481 
365 -162 -55 
-315 327 365 
310 -63 -314 
426 584 522 
446 -247 -33 
-164 351 160 
-26 371 -567 
574 -256 -332 
500 225 477 
531 510 487 
72 16 -216 
-135 -570 -489 
352 -330 469 
125 -171 535 
401 -482 339 
-151 527 358 
-58 -280 326 
38 -293 -366 
215 252 -44 
10 -313 -39 
100 -54 -47 
-560 -529 -68 
-66 -323 -105 
4 409 -22 
-537 -607 -235 
-39 245 295 
-105 -217 -536 
-457 468 504 
-135 -207 -240 
-70 -633 -427 
-438 -183 611 
246 110 -70 
-394 -330 -216 
-568 102 71 
-544 228 350 
-203 -270 -223 
-209 631 396 
6 375 402 
-207 400 379 
406 201 292 
-26 -31 7 
-553 453 -136 
400 -526 -624 
527 10 -130 
-479 296 134 
502 292 312 
-189 -288 453 
-13 608 -441 
125 -54 597 
572 -202 20 
282 -93 -333 
602 -231 36 
618 -421 -164 
-384 -262 -164 
-547 450 -429 
477 364 398 
-434 627 -508 
507 201 -108 
-637 593 -230 
-205 -81 134 
-613 259 -283 
60 377 543 
-82 -26 10 
518 -359 -578 
-70 -478 439 
-637 326 -231 
-67 145 124 
322 -394 -336 
260 -367 16 
-585 144 425 
257 213 -532 
455 378 -181 
-340 350 -211 
566 -387 -131 
-467 -54 -381 
369 -229 -279 
-148 -604 554 
-619 -211 -141 
259 299 -376 
611 -452 36 
161 393 145 
-107 -567 62 
-525 474 -162 
306 78 -465 
-448 400 201 
48 374 405 
580 341 474 
195 -212 227 
461 572 -632 
328 -490 125 
-169 403 -503 
527 269 -623 
97 554 56 
-415 248 520 
-635 87 264 
-337 38 -323 
617 405 -434 
-33 -46 133 
11 -84 341 
519 -270 563 
392 264 147 
-88 587 -592 
-515 109 -509 
-289 -431 161 
400 383 111 
-164 -209 617 
281 -82 138 
375 109 190 
-399 -180 -347 
326 -528 261 
-528 483 -146 
-594 575 275 
57 -244 -454 
-262 312 -568 
257 -363 149 
353 -441 296 
-559 -465 295 
-488 253 -192 
30 -202 -482 
-293 35 -441 
-589 234 -52 
-183 -291 275 
502 -34 -270 
-372 87 -511 
-615 -298 499 
628 -424 408 
-604 -193 198 
-256 610 98 
-194 257 -571 
133 502 -141 
-466 -63 -337 
215 -562 110 
410 -66 573 
-337 322 442 
204 462 -169 
405 -193 252 
-479 -612 198 
-152 -391 -359 
295 307 -168 
-209 -88 369 
-528 517 195 
-515 -376 -412 
-229 273 -180 
-347 -286 38 
142 -287 -594 
348 2 -265 
71 -466 527 
190 -559 -437 
253 -128 -615 
-121 42 185 
360 -298 419 
-440 74 -561 
-490 -1 436 
11 -356 -123 
-495 -115 -288 
-331 -181 296 
-157 -196 460 
355 409 182 
-237 252 -211 
-179 30 -235 
74 20 201 
303 542 343 
-47 566 468 
252 373 343 
468 514 -473 
-633 -187 -452 
299 587 471 
56 -268 -623 
602 -454 -151 
463 142 -280 
160 -271 20 
-421 -77 -17 
-176 215 501 
-505 -336 -456 
-623 111 -591 
-357 369 14 
474 -635 295 
-19 219 -585 
352 345 -240 
395 -440 -560 
444 -416 413 
36 219 -28 
541 -368 -26 
396 -263 138 
-479 -368 -286 
-168 -158 -387 
72 76 355 
443 295 -130 
-202 25 627 
276 -625 -121 
-640 566 -193 
-457 476 111 
-625 563 112 
225 -357 -3 
261 351 258 
581 533 -637 
-244 492 204 
163 -165 261 
-148 -211 542 
378 228 295 
-17 -23 -256 
-567 -31 12 
62 -451 -494 
48 228 -332 
319 232 502 
-632 -607 -231 
-407 -148 -473 
401 178 446 
-21 -27 -332 
493 161 390 
87 225 133 
-279 -412 499 
295 371 -440 
-29 -629 32 
38 10 -633 
-494 -169 -598 
-567 129 -171 
566 325 18 
430 -637 566 
91 328 2 
-23 -238 -516 
-146 365 557 
-52 593 -332 
-489 -279 -211 
-605 4 -231 
-289 -202 -567 
610 -85 -416 
-152 292 -267 
10 142 -609 
129 261 129 
-424 -238 -586 
348 -166 48 
397 582 -411 
133 -192 143 
-571 -192 543 
458 -445 312 
87 -560 -189 
161 630 -104 
588 426 596 
-552 602 453 
-407 -285 -31 
72 38 -235 
-289 573 -31 
-283 103 344 
-64 339 -61 
-63 -615 582 
522 -459 190 
-256 390 273 
-488 109 -193 
252 24 425 
133 -623 -263 
385 582 201 
378 -604 506 
-394 577 -372 
-283 -569 -205 
-81 597 365 
232 -415 102 
-26 460 260 
-85 628 -206 
-140 -421 225 
-187 -238 56 
-216 -183 -640 
225 221 -107 
-552 374 186 
549 -532 101 
-399 -544 -404 
215 -61 -349 
210 446 -635 
-166 239 327 
-640 319 -83 
295 620 -52 
-529 6 -309 
-126 -316 -612 
101 127 -576 
-561 355 -473 
-165 385 60 
292 281 -546 
-29 -309 260 
-68 -174 62 
-448 393 -525 
258 38 -529 
79 215 -214 
-286 -308 252 
523 480 307 
446 524 49 
-283 -592 530 
426 -166 543 
-357 220 79 
-323 -635 -237 
139 -433 -45 
-34 -473 -82 
500 -568 -191 
-247 -166 -359 
-553 201 305 
-209 125 38 
-338 241 -34 
-387 -595 96 
-635 -173 574 
470 484 326 
281 343 480 
-50 587 -279 
596 406 365 
-515 -386 -356 
-578 627 -271 
469 -482 87 
24 -300 327 
-415 -180 343 
-262 -288 30 
-509 502 261 
-417 -330 401 
396 -429 -168 
150 6 318 
-604 520 -66 
-262 -169 138 
133 132 -131 
513 -435 483 
-595 596 523 
-19 -316 -416 
-424 -622 343 
-438 470 218 
-424 -58 639 
-555 -229 -238 
484 496 97 
447 -475 628 
122 -555 -3 
42 -421 112 
124 -64 342 
-333 620 -473 
195 600 -564 
-607 -359 -1 
-119 -465 -612 
-330 -615 304 
521 195 400 
-187 92 374 
-54 -75 -192 
134 -421 397 
-172 -105 142 
213 -193 -207 
98 449 -43 
139 -301 -180 
-562 109 -203 
446 -560 339 
200 -94 -240 
322 343 -263 
220 497 -440 
-420 60 -286 
464 36 -214 
-635 -300 -438 
-283 -235 -171 
-216 601 499 
-59 -214 344 
565 405 483 
10 170 -332 
-155 -268 519 
-516 -214 -338 
450 -465 -604 
78 325 4 
419 -550 219 
48 -404 -45 
78 69 -58 
348 224 -290 
514 -278 304 
144 500 -52 
245 -286 71 
139 4 504 
460 258 382 
620 531 32 
418 -165 242 
-118 -411 -240 
-293 -529 -511 
-613 -537 601 
484 87 -546 
329 329 -423 
-421 76 -158 
-622 -536 -113 
-302 377 35 
102 -511 307 
195 99 -1 
-17 -594 38 
102 397 -616 
458 518 -59 
388 517 -214 
186 -614 144 
-84 373 -512 
474 -231 178 
583 513 -236 
590 163 -525 
-592 -640 -154 
246 4 402 
518 36 626 
524 -421 92 
443 273 608 
241 -81 -236 
-288 -637 -164 
-346 341 234 
351 -28 132 
334 -39 -29 
-613 14 -598 
274 519 -421 
-181 220 80 
-534 72 182 
-338 -561 497 
310 -107 -176 
390 224 517 
-441 558 -431 
-589 414 -168 
92 -386 572 
584 156 608 
49 -466 20 
-271 -121 557 
463 -467 -205 
-166 358 -206 
603 565 392 
234 24 5 
18 97 -550 
566 634 -174 
-222 444 213 
-591 462 -451 
101 125 631 
-75 -454 -268 
-202 -199 514 
-363 -118 -330 
-121 -621 -54 
432 197 425 
628 -54 14 
582 12 -279 
444 355 436 
190 326 -488 
159 606 354 
261 99 -196 
355 450 -619 
-84 32 464 
-526 -166 -526 
393 -431 -313 
476 389 277 
-81 500 -561 
264 -286 -157 
324 634 254 
-126 480 -126 
-615 114 -140 
-194 418 -58 
-205 -367 430 
-592 464 545 
-148 -223 355 
253 -526 -157 
498 261 210 
-315 -555 134 
-359 -486 -313 
410 -81 264 
358 -301 574 
326 462 -516 
-55 499 -298 
143 242 90 
-247 144 382 
-632 306 204 
499 134 153 
-495 -262 -217 
514 -284 7 
276 -262 318 
-635 220 -509 
38 540 -26 
18 -164 275 
-86 60 -207 
24 522 71 
-560 149 577 
-472 373 358 
-356 -108 -550 
345 590 -448 
-525 -22 -55 
-244 53 539 
-381 608 30 
-570 -467 11 
210 353 -251 
-538 8 444 
418 -615 458 
-206 362 -115 
566 581 -313 
282 319 134 
-411 355 221 
-526 -417 345 
-578 352 198 
78 -146 -263 
-247 -65 468 
-22 -526 -63 
-380 312 24 
-169 -555 364 
339 341 549 
-141 159 -309 
-106 -270 -384 
-550 -315 -66 
-44 620 273 
282 -589 248 
97 -537 -623 
-229 163 -594 
-183 341 -637 
-28 -240 343 
327 153 -404 
264 200 425 
-88 -313 233 
-544 -68 -551 
533 208 409 
41 406 -162 
499 -209 -272 
144 626 143 
425 453 344 
-298 292 185 
-250 -222 248 
-43 -46 392 
321 620 469 
-88 14 303 
112 178 -532 
-454 358 125 
413 409 -46 
449 299 388 
-632 580 -466 
-337 5 -179 
-212 -126 -285 
461 575 -340 
16 -538 -331 
87 342 327 
-279 -349 -123 
389 -428 -168 
11 -265 513 
341 220 449 
558 530 -372 
-238 628 -598 
-495 -43 -187 
-412 -13 533 
208 32 -437 
143 -262 -286 
639 463 -528 
-291 -473 232 
-82 518 -223 
392 -148 531 
144 -267 -223 
385 -508 14 
41 -66 557 
477 142 461 
-422 392 -457 
225 -176 -612 
-164 554 10 
-250 282 -237 
-52 600 590 
497 -482 -532 
587 398 484 
220 -229 474 
213 277 -169 
-615 321 353 
426 8 524 
-370 48 527 
-508 602 -613 
390 -404 373 
-85 -203 -387 
-336 10 -265 
275 2 -640 
377 18 -428 
628 -459 -615 
37 -632 -207 
76 295 163 
-162 -609 76 
-346 539 318 
389 -594 -420 
-121 -421 352 
-336 319 312 
-263 -562 -451 
352 -387 -494 
335 224 398 
464 -54 -263 
493 -187 593 
-412 362 -148 
-247 190 463 
519 117 91 
-357 477 -179 
390 514 282 
575 297 -47 
101 -217 565 
461 -171 334 
100 374 378 
25 98 -594 
-534 -551 476 
377 12 -115 
-386 -486 -118 
12 -278 145 
-23 132 -562 
-240 2 -478 
-349 432 -607 
-525 110 -301 
-417 100 -571 
558 -52 -452 
-58 628 541 
377 91 541 
572 -399 111 
-107 -52 341 
219 -279 -515 
543 139 -40 
-591 -231 14 
-196 6 -595 
32 462 -427 
134 142 -567 
502 543 96 
-268 159 392 
-434 -550 -158 
-202 160 -240 
185 -547 -137 
581 -29 388 
225 610 143 
-65 -440 603 
-94 -285 -272 
208 395 -592 
-209 628 449 
-34 -174 -66 
204 -428 378 
37 610 -217 
-489 -550 351 
198 201 -629 
527 -438 375 
-308 352 41 
414 -438 92 
-516 -612 484 
246 -302 -278 
-191 540 276 
513 -40 147 
365 248 603 
-349 208 606 
-407 461 334 
-40 364 -536 
543 -316 -445 
-551 -17 304 
-399 -525 -151 
-289 -46 517 
602 -421 132 
5 277 -50 
178 392 352 
-578 369 -82 
326 98 -230 
98 345 -560 
9 -368 -54 
-564 -431 76 
383 392 -89 
243 -516 147 
257 -17 -106 
-192 -316 -479 
639 90 541 
-29 545 132 
395 102 144 
-561 602 -65 
-547 -528 -333 
-568 352 -168 
-330 -86 109 
-61 -174 -40 
253 204 400 
-3 517 -3 
-636 296 41 
-126 10 -621 
461 348 -629 
-59 -586 -415 
-183 117 -29 
361 6 606 
519 144 360 
365 566 114 
-320 -612 218 
-236 468 -313 
239 -236 -467 
-309 -235 -616 
453 530 312 
446 474 566 
556 518 481 
383 556 -86 
-180 -152 -217 
124 -136 -255 
306 383 -237 
239 275 -333 
499 449 277 
378 602 523 
-141 487 403 
-113 -399 175 
-121 -625 628 
-288 -94 507 
360 -482 464 
-105 -141 -256 
425 -58 253 
7 447 339 
243 -571 -285 
38 631 -309 
201 -26 -193 
-320 -64 -240 
161 -238 545 
220 627 -203 
114 -291 41 
53 524 -452 
306 7 377 
99 -552 563 
-309 -509 296 
-571 -313 -40 
-94 -263 -482 
-115 557 628 
-621 -387 328 
204 -289 -466 
-171 327 170 
103 -394 -66 
225 -34 -585 
-466 -553 -287 
-638 304 -22 
-508 -67 12 
-526 -486 -123 
30 -309 -366 
-331 -169 -168 
-66 596 218 
590 147 573 
-624 195 69 
218 -223 11 
116 245 57 
-104 -560 -81 
-33 -33 -609 
587 -223 -370 
480 -166 307 
221 234 541 
496 362 -331 
-22 426 -330 
145 -231 185 
-193 -315 -302 
481 -223 -22 
520 -272 -308 
-247 71 -157 
-359 583 -33 
149 110 -370 
-113 -191 -278 
-88 -336 -320 
-59 92 153 
414 177 634 
-1 -494 -223 
-622 -384 634 
170 299 239 
254 409 -359 
498 -609 -368 
-181 197 -266 
160 390 -315 
-609 30 322 
-285 -251 170 
-169 -333 269 
-165 523 -46 
124 -552 -515 
-440 228 -337 
377 -466 575 
628 -548 -119 
97 -589 -172 
413 -280 -372 
62 -212 -363 
-193 60 -466 
393 -211 -230 
317 142 390 
72 403 6 
218 -289 -194 
-486 517 443 
558 -27 16 
603 510 120 
418 524 253 
-88 -289 587 
-488 -585 506 
-46 276 -552 
-399 76 558 
-229 200 -244 
518 -494 -157 
-486 406 -28 
402 -550 24 
60 -105 371 
224 563 53 
-357 182 76 
360 -550 -621 
455 -399 -622 
-202 -441 402 
501 382 471 
-347 62 -424 
111 -422 507 
510 558 177 
163 -84 -113 
-546 -512 -272 
-423 -136 460 
195 264 -623 
-205 409 530 
-376 12 620 
80 -316 195 
-433 -191 393 
100 533 -118 
-384 -564 14 
-235 190 579 
-560 -179 71 
-141 319 -148 
-136 -559 246 
274 12 393 
410 -168 -479 
358 57 -623 
-366 468 596 
116 90 -108 
-188 -315 -286 
-168 -478 388 
257 -629 -294 
124 601 -340 
-547 11 18 
30 -194 -495 
20 -384 -202 
-183 197 -638 
6 328 -121 
-598 -271 405 
342 177 -391 
430 -599 317 
167 -448 350 
-135 204 -363 
159 626 430 
-537 -479 120 
443 -135 -386 
228 501 -605 
274 -118 -407 
-223 -33 -346 
-52 -525 388 
274 -130 111 
-291 443 -31 
326 588 -172 
198 -155 -194 
-456 326 -431 
-534 558 273 
258 577 602 
480 -107 -58 
-386 462 -619 
-637 573 -437 
432 -189 -616 
-19 42 -320 
109 242 458 
630 442 261 
225 -27 -44 
20 -340 618 
-428 -29 24 
-429 -571 -113 
-599 -548 -119 
37 389 -505 
-516 91 540 
-548 464 556 
226 227 446 
198 -128 343 
71 -17 -614 
-548 245 406 
-119 -629 364 
523 -347 -435 
-370 208 574 
584 -203 -448 
-94 -28 -638 
48 227 565 
-595 56 -578 
-272 580 111 
-45 611 -422 
-217 72 533 
-279 186 -169 
-564 474 101 
36 98 -300 
-180 245 -43 
210 345 365 
-54 -44 -448 
282 254 305 
228 -68 306 
-550 -158 225 
-473 -59 -85 
-472 397 79 
-126 296 -66 
523 597 111 
510 -636 228 
198 91 -489 
15 -435 281 
341 521 -422 
-591 260 -63 
378 -640 628 
-595 620 533 
362 -81 360 
79 573 -285 
484 -279 4 
218 -121 -503 
-316 -456 439 
243 242 92 
-31 -171 580 
312 133 -429 
358 -434 -454 
-61 377 -169 
-249 -115 60 
221 -267 506 
11 -429 -194 
364 348 72 
74 -486 -567 
-55 -594 24 
125 -508 219 
-280 36 -368 
634 -162 -509 
-231 -420 -594 
-607 -347 219 
225 -230 117 
-576 513 -17 
-607 549 377 
160 -359 -66 
360 232 8 
98 -415 418 
450 -624 -567 
-84 590 5 
324 378 62 
-268 549 -128 
-164 -33 245 
-33 395 426 
-515 -298 228 
446 -420 471 
74 221 243 
343 57 -569 
-137 234 342 
425 531 37 
109 542 587 
-591 14 -546 
450 153 498 
292 220 602 
439 4 476 
32 -230 90 
260 12 269 
167 497 -516 
374 109 -140 
-104 -209 -475 
455 -155 225 
-214 18 573 
25 577 374 
617 -559 -128 
-22 197 521 
-230 -568 -68 
-368 -249 -279 
200 138 519 
-202 -359 -280 
-189 -349 335 
310 -635 350 
49 125 -291 
-607 224 -65 
-479 132 138 
110 -59 204 
-46 161 -209 
277 -448 -13 
-363 7 -172 
413 245 460 
471 481 -23 
-423 95 170 
531 409 -589 
-346 -206 317 
-188 -372 -300 
620 -58 220 
-336 626 371 
620 241 -266 
-456 603 -104 
-293 -338 -427 
-179 -320 322 
-40 -494 20 
-338 523 -270 
575 -441 -155 
76 484 -330 
16 303 282 
-454 -623 218 
90 -231 -509 
248 159 163 
-605 556 329 
-251 -148 -256 
258 97 -386 
-544 -638 -314 
-391 -211 153 
-568 -417 -586 
385 -438 530 
474 353 507 
523 178 476 
-380 -547 369 
596 499 -29 
-86 -528 -605 
-29 581 260 
-435 -238 233 
395 -22 319 
-427 225 110 
112 114 463 
175 -422 549 
492 234 127 
220 -491 -423 
12 -552 218 
362 317 -561 
464 554 8 
-44 16 170 
-222 -454 -466 
-412 395 71 
-394 210 -151 
228 -529 38 
90 -121 -301 
210 -380 -589 
117 432 53 
377 617 -323 
-559 241 611 
260 204 -313 
-615 178 400 
410 -66 462 
-387 453 282 
-64 25 -244 
-536 450 225 
96 -384 -263 
-155 388 -158 
185 618 325 
634 539 -63 
7 -637 -106 
468 -61 410 
535 307 540 
620 -528 241 
409 -550 -290 
252 -202 -548 
540 398 -417 
497 92 264 
-357 -26 -191 
430 -368 95 
120 5 -376 
513 275 -106 
481 -19 449 
-372 -123 324 
-503 79 111 
455 210 627 
163 51 390 
403 634 471 
9 -368 517 
-315 540 -367 
-238 147 471 
-3 -553 312 
-467 -357 -293 
49 175 -438 
369 627 49 
582 -381 198 
42 373 239 
-417 527 -386 
-67 542 14 
243 502 -70 
-435 345 80 
-482 62 545 
-212 -168 -532 
10 487 -39 
248 -196 150 
-84 -538 -381 
383 -569 233 
2 36 -293 
129 -287 -423 
-367 -623 -490 
246 227 -223 
-1 60 138 
577 49 531 
-564 460 -22 
-505 277 49 
-424 -289 -489 
-88 49 558 
354 -27 -589 
395 245 122 
481 37 -263 
-151 566 -333 
581 -283 14 
-424 258 87 
-457 -192 556 
-528 5 600 
-244 -244 446 
-176 -417 57 
-286 -544 463 
608 -494 -301 
90 627 -203 
-214 -181 -433 
-86 355 260 
-314 -136 9 
-489 443 -291 
-199 12 -505 
597 -412 92 
-298 396 -466 
485 348 -188 
392 -135 626 
-47 324 477 
102 -433 572 
458 -286 281 
-508 -552 5 
463 -356 -548 
-119 -265 590 
566 -59 243 
142 122 -203 
100 539 312 
329 62 -613 
-363 458 549 
-552 -509 -207 
-298 -607 -366 
252 -196 -45 
-337 -94 584 
-39 143 -265 
566 142 -86 
365 91 -594 
442 -595 377 
517 521 -592 
375 319 -180 
-263 -359 -568 
464 -562 42 
398 462 -67 
62 -278 -479 
-249 -249 -538 
328 502 -528 
143 -183 413 
583 -526 -244 
-59 523 -494 
56 -113 -166 
432 -223 -479 
326 527 -544 
125 449 377 
353 -284 -511 
329 -300 -503 
-164 557 572 
144 32 -357 
7 16 -594 
-399 597 463 
-315 522 -428 
-39 492 -621 
-128 -214 -256 
127 -13 618 
-222 4 377 
-434 -278 110 
-456 593 227 
-222 175 -399 
443 -137 373 
-381 377 -123 
145 -70 -33 
400 -332 -612 
-561 -315 -172 
630 103 -381 
-372 499 25 
-22 392 492 
-544 -621 252 
-532 110 321 
-486 377 -417 
78 -333 358 
-286 339 125 
-624 -28 -619 
-21 218 -256 
-337 -298 514 
18 -416 502 
-207 -416 233 
342 -412 -435 
-467 -107 -434 
-43 426 -320 
114 117 442 
-173 -555 233 
373 348 153 
-546 -544 414 
-61 208 395 
374 -284 396 
531 463 -546 
-349 97 80 
-323 -293 -169 
-278 360 -270 
226 352 -28 
463 190 97 
-154 -250 -203 
-614 190 -619 
-140 161 343 
597 -561 273 
-537 -250 204 
210 344 -22 
-616 153 -331 
14 296 -82 
374 -420 471 
549 -106 575 
273 496 339 
-135 -478 462 
493 326 -598 
-251 319 468 
-331 322 554 
143 -625 -357 
264 239 -194 
-108 -441 -136 
5 -347 -547 
513 103 -244 
476 170 -108 
-294 -404 -168 
580 601 292 
318 481 -494 
-454 -491 226 
-391 49 397 
-104 -284 177 
-591 -416 606 
8 378 -67 
-441 480 -544 
-511 -536 -151 
-544 72 -192 
-180 -391 35 
-465 -64 -270 
-384 -172 218 
49 234 -336 
16 430 -155 
324 -347 630 
566 -569 -314 
442 -179 -45 
-196 -422 414 
626 -604 175 
-547 220 -394 
573 -551 -34 
-548 -372 124 
-251 -571 361 
245 -561 450 
583 175 -505 
257 -349 501 
-267 -278 409 
-333 492 545 
197 -625 402 
-88 -489 185 
254 -399 -536 
-179 177 -84 
101 361 -613 
351 -154 292 
-562 519 -34 
-467 -550 259 
306 -13 163 
221 -440 -467 
213 139 530 
502 600 360 
329 -43 -466 
102 254 -636 
-154 549 225 
577 245 631 
-173 -244 60 
318 -330 322 
-368 -58 -137 
138 460 -33 
535 -472 449 
574 114 379 
-65 462 -236 
96 410 360 
-34 628 521 
96 325 -108 
-466 -23 304 
-564 110 -591 
-193 -612 -115 
-214 362 374 
-434 -416 233 
577 -512 142 
-411 379 -67 
-267 129 -629 
97 -86 -609 
-192 584 -532 
519 -94 110 
76 8 328 
442 450 -623 
-118 15 275 
-550 -346 -595 
-73 350 -203 
-85 468 -88 
345 160 460 
352 389 -266 
470 -404 628 
-293 -162 25 
57 326 -46 
520 364 -23 
-538 497 -313 
-43 -202 -560 
627 307 493 
390 -386 -286 
-346 -421 -553 
-115 -495 -315 
-94 522 -207 
24 464 -271 
-26 -509 117 
-55 -89 -509 
-562 590 178 
-199 318 444 
16 364 -235 
549 149 -237 
-267 -250 573 
-316 -47 -420 
-359 492 -551 
-287 -290 303 
410 -609 -491 
-77 -294 142 
-181 144 53 
398 156 14 
-21 -632 -568 
-416 405 -349 
628 -236 -623 
239 354 460 
587 351 450 
-459 225 219 
127 492 364 
-157 127 200 
76 319 -272 
-191 406 485 
374 510 -173 
-93 -1 -570 
-546 -562 -479 
541 -33 573 
-538 -561 269 
112 -55 -599 
-237 245 -216 
-338 -536 601 
90 -29 156 
379 325 -70 
-285 167 -578 
-148 -399 143 
470 581 360 
477 593 341 
542 -424 277 
-290 453 355 
149 142 379 
-113 -525 -473 
565 -459 -567 
383 96 -635 
-288 -490 177 
-289 335 -107 
385 477 -126 
-370 -599 -148 
-140 396 321 
-420 242 227 
443 -544 -569 
-448 -479 539 
539 -538 78 
521 627 186 
-399 606 -624 
492 -431 -94 
-559 -636 226 
208 -435 -544 
432 390 -315 
175 111 -64 
608 -529 464 
24 530 -77 
-130 549 -151 
-39 -595 588 
590 -256 144 
382 232 -146 
-594 241 -115 
-288 92 -491 
-166 469 -193 
-59 90 -391 
-376 -423 -67 
-488 -638 215 
628 -207 253 
32 38 450 
48 -336 78 
-451 101 -183 
504 127 246 
-223 501 -372 
-407 6 177 
-209 80 -372 
210 565 -65 
-19 580 -165 
-511 329 100 
-349 -636 -94 
-429 -229 521 
579 395 -605 
-629 574 -489 
326 -544 -337 
234 260 -209 
446 -1 -459 
-559 8 -238 
-555 153 414 
15 325 -187 
339 -174 227 
224 -235 138 
-268 -66 -174 
227 99 117 
-191 -421 101 
-605 593 335 
-407 -84 182 
-467 -567 -29 
-13 362 -267 
41 492 -633 
-88 446 -26 
38 608 -115 
523 618 -559 
617 -81 -340 
-55 -512 579 
543 566 -81 
-284 481 56 
98 -290 -433 
-29 -146 -205 
-357 -130 90 
-391 317 -615 
127 303 463 
221 447 5 
630 138 -314 
149 -162 -538 
-211 163 542 
364 295 25 
-108 -203 -472 
606 -151 566 
-196 355 326 
-445 -407 -88 
-316 219 -154 
139 161 -357 
522 -158 9 
232 -311 507 
-50 362 219 
-372 -635 -33 
469 312 -236 
556 -538 307 
-528 549 390 
224 20 471 
-605 522 -613 
518 500 375 
-43 -441 -194 
507 -65 95 
500 -191 342 
-284 -609 120 
-421 -262 -585 
-632 327 -473 
-387 430 517 
38 127 -559 
556 195 -212 
190 -34 343 
-482 506 339 
-422 273 -31 
-108 149 326 
-152 -263 -55 
334 -495 -135 
-64 558 -126 
-550 -516 269 
-229 517 484 
365 398 -534 
96 -532 514 
-183 -478 462 
224 -164 -1 
198 -632 -586 
388 319 -22 
260 502 -528 
-346 449 -113 
-466 317 425 
228 224 -83 
103 -54 156 
-337 499 335 
335 71 -212 
-349 -256 144 
413 25 139 
522 -58 -31 
430 -113 -141 
182 -637 -491 
-363 584 -115 
-429 371 618 
142 -104 -196 
617 -152 32 
506 100 339 
584 -189 -431 
317 -525 566 
-214 501 -614 
-33 -58 518 
-367 24 103 
170 450 626 
-171 233 -532 
-490 -438 575 
626 601 -298 
596 242 -368 
577 -491 -263 
318 -594 -454 
245 535 -568 
56 575 -298 
-340 -638 573 
304 -623 593 
-141 -3 -206 
-595 -368 618 
531 -231 -482 
-73 -494 14 
-370 305 125 
210 -490 524 
460 48 524 
-29 -263 -89 
502 446 439 
-130 -380 350 
487 -488 334 
-586 602 -130 
443 -429 -89 
138 -44 539 
92 -267 397 
-454 261 -166 
60 364 -223 
-205 -404 -286 
573 200 -621 
-594 507 581 
-621 -270 274 
455 455 -424 
639 -81 -619 
-222 628 -489 
-28 -478 -495 
527 506 444 
392 -467 -286 
57 504 -417 
541 -424 242 
597 483 101 
117 351 -607 
-93 364 -615 
-67 -61 -174 
-638 519 303 
-424 258 533 
-272 -235 125 
11 38 -61 
-619 -416 -173 
610 -249 -386 
-420 210 480 
577 395 -457 
71 -44 -3 
11 580 628 
543 -146 -516 
-459 626 392 
125 -380 -599 
-194 102 133 
617 -640 208 
329 78 -528 
197 -551 259 
215 60 72 
-31 -475 20 
297 410 449 
535 -194 405 
-428 395 476 
-482 395 261 
-94 -503 436 
-438 -594 -271 
25 350 248 
-372 418 406 
-429 -420 -75 
618 587 -1 
-34 -128 -454 
-457 360 259 
502 -594 557 
-623 327 -118 
167 439 377 
-93 10 631 
-118 -454 -525 
159 373 -77 
617 492 234 
10 99 -538 
406 601 542 
-547 185 -532 
90 -320 -199 
-330 -451 159 
-532 -592 -88 
610 90 425 
496 401 322 
-399 -431 371 
602 -249 282 
-488 -415 373 
-293 35 -272 
-594 468 -381 
487 398 95 
182 388 -256 
-165 -366 -61 
-323 500 234 
-546 -445 549 
-22 -43 -249 
-75 243 -67 
-54 -191 10 
101 -290 -589 
408 117 -370 
565 -621 276 
493 -309 -135 
-576 596 -459 
556 504 -217 
-214 -411 -594 
-632 -26 -366 
